ward,street_number,street_name,street_type,quadrant,square_suffix_lot,full_address
5,1286,MORSE,ST,NE,4066 0057,"1286 MORSE ST NE Washington, DC"
5,1120,ORREN,ST,NE,4068 0060,"1120 ORREN ST NE Washington, DC"
5,1114,HOLBROOK,ST,NE,4068 0170,"1114 HOLBROOK ST NE Washington, DC"
5,1108,HOLBROOK,ST,NE,4068 0173,"1108 HOLBROOK ST NE Washington, DC"
5,1518,QUEEN,ST,NE,4076 0239,"1518 QUEEN ST NE Washington, DC"
5,1532,LEVIS,ST,NE,4076 0806,"1532 LEVIS ST NE Washington, DC"
5,1321,CHILDRESS,ST,NE,4076W 0079,"1321 CHILDRESS ST NE Washington, DC"
5,1223,16TH,ST,NE,4078 0209,"1223 16TH ST NE Washington, DC"
5,1221,16TH,ST,NE,4078 0210,"1221 16TH ST NE Washington, DC"
5,2410,21ST,PL,NE,4110 0011,"2410 21ST PL NE Washington, DC"
5,1876,BRYANT,ST,NE,4112 0849,"1876 BRYANT ST NE Washington, DC"
5,2226,16TH,ST,NE,4117 0010,"2226 16TH ST NE Washington, DC"
5,2211,14TH,ST,NE,4118 0055,"2211 14TH ST NE Washington, DC"
5,1700,IRVING,ST,NE,4138 0024,"1700 IRVING ST NE Washington, DC"
5,3217,17TH,ST,NE,4142 0025,"3217 17TH ST NE Washington, DC"
5,3504,18TH,ST,NE,4147 0043,"3504 18TH ST NE Washington, DC"
5,1706,OTIS,ST,NE,4151 0007,"1706 OTIS ST NE Washington, DC"
5,4112,18TH,ST,NE,4159 0009,"4112 18TH ST NE Washington, DC"
5,1658,VARNUM,PL,NE,4167 0063,"1658 VARNUM PL NE Washington, DC"
5,1825,HAMLIN,ST,NE,4210 0822,"1825 HAMLIN ST NE Washington, DC"
5,2730,22ND,ST,NE,4214 0819,"2730 22ND ST NE Washington, DC"
5,2123,KEARNY,ST,NE,4220 0047,"2123 KEARNY ST NE Washington, DC"
5,2006,SHEPHERD,ST,NE,4230 0047,"2006 SHEPHERD ST NE Washington, DC"
5,2000,VARNUM,ST,NE,4233 0006,"2000 VARNUM ST NE Washington, DC"
5,2416,HAMLIN,PL,NE,4250 0007,"2416 HAMLIN PL NE Washington, DC"
5,3052,THAYER,ST,NE,4250 0808,"3052 THAYER ST NE Washington, DC"
5,2241,DOUGLAS,ST,NE,4255 0829,"2241 DOUGLAS ST NE Washington, DC"
5,3700,30TH,PL,NE,4304 0007,"3700 30TH PL NE Washington, DC"
5,2911,RHODE ISLAND,AVE,NE,4310 0808,"2911 RHODE ISLAND AVE NE Washington, DC"
5,2845,MONROE,ST,NE,4316 0024,"2845 MONROE ST NE Washington, DC"
5,2837,BRENTWOOD,RD,NE,4317 0033,"2837 BRENTWOOD RD NE Washington, DC"
5,2904,CARLTON,AVE,NE,4318 0818,"2904 CARLTON AVE NE Washington, DC"
5,2611,MYRTLE,AVE,NE,4318 0860,"2611 MYRTLE AVE NE Washington, DC"
5,2815,MYRTLE,AVE,NE,4319 0808,"2815 MYRTLE AVE NE Washington, DC"
5,3042,CLINTON,ST,NE,4319 0833,"3042 CLINTON ST NE Washington, DC"
5,3065,CLINTON,ST,NE,4320 0052,"3065 CLINTON ST NE Washington, DC"
5,3261,FORT LINCOLN,DR,NE,4325 1012,"3261 FORT LINCOLN DR NE Washington, DC"
5,3406,SUMMIT,CT,NE,4325 2303,"3406 SUMMIT CT NE Washington, DC"
5,3132,BERRY,RD,NE,4326 2220,"3132 BERRY RD NE Washington, DC"
5,3150,BERRY,RD,NE,4326 2229,"3150 BERRY RD NE Washington, DC"
5,2824,30TH,ST,NE,4338 0009,"2824 30TH ST NE Washington, DC"
5,2901,SOUTH DAKOTA,AVE,NE,4339 0030,"2901 SOUTH DAKOTA AVE NE Washington, DC"
5,2610,EVARTS,ST,NE,4347 0022,"2610 EVARTS ST NE Washington, DC"
5,2613,BLADENSBURG,RD,NE,4353 0041,"2613 BLADENSBURG RD NE Washington, DC"
5,3027,CHANNING,ST,NE,4360 0062,"3027 CHANNING ST NE Washington, DC"
5,3105,DOUGLAS,ST,NE,4361 0037,"3105 DOUGLAS ST NE Washington, DC"
5,2217,RAND,PL,NE,4409 0141,"2217 RAND PL NE Washington, DC"
5,1925,M,ST,NE,4469 0086,"1925 M ST NE Washington, DC"
5,2017,M,ST,NE,4469 0113,"2017 M ST NE Washington, DC"
5,1840,L,ST,NE,4470 0080,"1840 L ST NE Washington, DC"
5,1800,L,ST,NE,4470 0100,"1800 L ST NE Washington, DC"
5,1742,L,ST,NE,4470 0108,"1742 L ST NE Washington, DC"
5,1745,L,ST,NE,4474 0100,"1745 L ST NE Washington, DC"
5,1830,I,ST,NE,4488 0031,"1830 I ST NE Washington, DC"
5,1801,MARYLAND,AVE,NE,4488 0036,"1801 MARYLAND AVE NE Washington, DC"
5,802,21ST,ST,NE,4495 0018,"802 21ST ST NE Washington, DC"
5,821,20TH,ST,NE,4495 0030,"821 20TH ST NE Washington, DC"
5,802,21ST,ST,NE,4495 0055,"802 21ST ST NE Washington, DC"
5,849,19TH,ST,NE,4495 0075,"849 19TH ST NE Washington, DC"
5,1915,H,ST,NE,4506 0128,"1915 H ST NE Washington, DC"
5,1933,H,ST,NE,4506 0137,"1933 H ST NE Washington, DC"
